Day   0 -      no restrictions: current guests:     4/   26, occupancy: 0.153846, newly infected:       3, currently infected:       3, total fully vaccined:       0, recovered:       0, ballance:    -2875
Day   1 -      no restrictions: current guests:     3/   26, occupancy: 0.115385, newly infected:       0, currently infected:       3, total fully vaccined:       0, recovered:       0, ballance:    -5050
Day   2 -      no restrictions: current guests:     9/   26, occupancy: 0.346154, newly infected:       2, currently infected:       5, total fully vaccined:       0, recovered:       0, ballance:    21475
Day   3 -      no restrictions: current guests:    12/   26, occupancy: 0.461538, newly infected:       3, currently infected:       8, total fully vaccined:       0, recovered:       0, ballance:    18600
Day   4 -      no restrictions: current guests:    10/   26, occupancy: 0.384615, newly infected:       4, currently infected:      12, total fully vaccined:       0, recovered:       0, ballance:    20625
Day   5 -      no restrictions: current guests:    19/   26, occupancy: 0.730769, newly infected:       6, currently infected:      18, total fully vaccined:       0, recovered:       0, ballance:    17750
Day   6 -      no restrictions: current guests:     9/   26, occupancy: 0.346154, newly infected:       1, currently infected:      19, total fully vaccined:       0, recovered:       0, ballance:    14875
Day   7 -      no restrictions: current guests:    12/   26, occupancy: 0.461538, newly infected:      12, currently infected:      31, total fully vaccined:       0, recovered:       0, ballance:    21800
Day   8 -      no restrictions: current guests:    20/   26, occupancy: 0.769231, newly infected:       0, currently infected:      31, total fully vaccined:       0, recovered:       0, ballance:    23825
Day   9 -      no restrictions: current guests:    26/   26, occupancy: 1.000000, newly infected:      10, currently infected:      41, total fully vaccined:       0, recovered:       0, ballance:    20950
Day  10 -      no restrictions: current guests:    26/   26, occupancy: 1.000000, newly infected:      50, currently infected:      91, total fully vaccined:       0, recovered:       0, ballance:    18075
Day  11 -               closed: current guests:    25/    0, occupancy: 0.000000, newly infected:       3, currently infected:      94, total fully vaccined:       0, recovered:       0, ballance:    15200
Day  12 -               closed: current guests:    25/    0, occupancy: 0.000000, newly infected:      47, currently infected:     141, total fully vaccined:       0, recovered:       0, ballance:    12325
Day  13 -               closed: current guests:    23/    0, occupancy: 0.000000, newly infected:      48, currently infected:     189, total fully vaccined:       0, recovered:       0, ballance:     9450
Day  14 -               closed: current guests:    23/    0, occupancy: 0.000000, newly infected:      64, currently infected:     250, total fully vaccined:       0, recovered:       3, ballance:     6575
Day  15 -               closed: current guests:    23/    0, occupancy: 0.000000, newly infected:      45, currently infected:     295, total fully vaccined:       0, recovered:       3, ballance:     3700
