Day   0 -      no restrictions: current guests:     2/   26, occupancy: 0.076923, newly infected:       3, currently infected:       3, total fully vaccined:       0, recovered:       0, ballance:      625
Day   1 -      no restrictions: current guests:    15/   26, occupancy: 0.576923, newly infected:       0, currently infected:       3, total fully vaccined:       0, recovered:       0, ballance:     6150
Day   2 -      no restrictions: current guests:    19/   26, occupancy: 0.730769, newly infected:       2, currently infected:       5, total fully vaccined:       0, recovered:       0, ballance:     3275
Day   3 -      no restrictions: current guests:    13/   26, occupancy: 0.500000, newly infected:       3, currently infected:       8, total fully vaccined:       0, recovered:       0, ballance:     1800
Day   4 -      no restrictions: current guests:    12/   26, occupancy: 0.461538, newly infected:       4, currently infected:      12, total fully vaccined:       0, recovered:       0, ballance:    -1075
Day   5 -      no restrictions: current guests:    22/   26, occupancy: 0.846154, newly infected:       6, currently infected:      18, total fully vaccined:       0, recovered:       0, ballance:    -3950
Day   6 -      no restrictions: current guests:    26/   26, occupancy: 1.000000, newly infected:       1, currently infected:      19, total fully vaccined:       0, recovered:       0, ballance:    -5425
Day   7 -      no restrictions: current guests:    26/   26, occupancy: 1.000000, newly infected:      12, currently infected:      31, total fully vaccined:       0, recovered:       0, ballance:    -7600
Day   8 -      no restrictions: current guests:    17/   26, occupancy: 0.653846, newly infected:       0, currently infected:      31, total fully vaccined:       0, recovered:       0, ballance:    -3475
Day   9 -      no restrictions: current guests:    12/   26, occupancy: 0.461538, newly infected:      10, currently infected:      41, total fully vaccined:       0, recovered:       0, ballance:    -6350
Day  10 -      no restrictions: current guests:    14/   26, occupancy: 0.538462, newly infected:      50, currently infected:      91, total fully vaccined:       0, recovered:       0, ballance:    -9225
Day  11 -      no restrictions: current guests:    16/   26, occupancy: 0.615385, newly infected:       3, currently infected:      94, total fully vaccined:       0, recovered:       0, ballance:    -8600
Day  12 -      no restrictions: current guests:    25/   26, occupancy: 0.961538, newly infected:      47, currently infected:     141, total fully vaccined:       0, recovered:       0, ballance:   -11475
Day  13 -      no restrictions: current guests:    26/   26, occupancy: 1.000000, newly infected:      48, currently infected:     189, total fully vaccined:       0, recovered:       0, ballance:    10850
Day  14 -      no restrictions: current guests:    24/   26, occupancy: 0.923077, newly infected:      64, currently infected:     250, total fully vaccined:       0, recovered:       3, ballance:     9375
Day  15 -      no restrictions: current guests:    17/   26, occupancy: 0.653846, newly infected:      45, currently infected:     295, total fully vaccined:       0, recovered:       3, ballance:    12100
Day  16 -      no restrictions: current guests:    24/   26, occupancy: 0.923077, newly infected:      98, currently infected:     391, total fully vaccined:       0, recovered:       5, ballance:    12025
Day  17 -      no restrictions: current guests:    24/   26, occupancy: 0.923077, newly infected:      68, currently infected:     456, total fully vaccined:       0, recovered:       8, ballance:     9150
Day  18 -      no restrictions: current guests:    25/   26, occupancy: 0.961538, newly infected:     230, currently infected:     682, total fully vaccined:       0, recovered:      12, ballance:    39875
Day  19 -      no restrictions: current guests:    26/   26, occupancy: 1.000000, newly infected:     139, currently infected:     815, total fully vaccined:       0, recovered:      18, ballance:    53800
Day  20 -      no restrictions: current guests:    26/   26, occupancy: 1.000000, newly infected:     162, currently infected:     976, total fully vaccined:       0, recovered:      19, ballance:    50925
Day  21 -        half capacity: current guests:    26/   13, occupancy: 2.000000, newly infected:     125, currently infected:    1089, total fully vaccined:       0, recovered:      31, ballance:    48050
Day  22 -        half capacity: current guests:    26/   13, occupancy: 2.000000, newly infected:     116, currently infected:    1205, total fully vaccined:       0, recovered:      31, ballance:    45175
Day  23 -        half capacity: current guests:    21/   13, occupancy: 1.615385, newly infected:     158, currently infected:    1353, total fully vaccined:       0, recovered:      41, ballance:    42300
Day  24 -        half capacity: current guests:    21/   13, occupancy: 1.615385, newly infected:     260, currently infected:    1563, total fully vaccined:       0, recovered:      91, ballance:    39425
Day  25 -        half capacity: current guests:    16/   13, occupancy: 1.230769, newly infected:     271, currently infected:    1831, total fully vaccined:       0, recovered:      94, ballance:    36550
Day  26 -        half capacity: current guests:    13/   13, occupancy: 1.000000, newly infected:     354, currently infected:    2138, total fully vaccined:       0, recovered:     141, ballance:    42075
Day  27 -        half capacity: current guests:    11/   13, occupancy: 0.846154, newly infected:     352, currently infected:    2442, total fully vaccined:       0, recovered:     189, ballance:    58800
Day  28 -        half capacity: current guests:    11/   13, occupancy: 0.846154, newly infected:     186, currently infected:    2564, total fully vaccined:       0, recovered:     253, ballance:    58725
Day  29 -        half capacity: current guests:    11/   13, occupancy: 0.846154, newly infected:     184, currently infected:    2703, total fully vaccined:       0, recovered:     298, ballance:    55850
Day  30 -        half capacity: current guests:    12/   13, occupancy: 0.923077, newly infected:     307, currently infected:    2912, total fully vaccined:       0, recovered:     396, ballance:    52975
Day  31 -        half capacity: current guests:    11/   13, occupancy: 0.846154, newly infected:     200, currently infected:    3044, total fully vaccined:       0, recovered:     464, ballance:    50100
Day  32 -        half capacity: current guests:    10/   13, occupancy: 0.769231, newly infected:     350, currently infected:    3164, total fully vaccined:       0, recovered:     694, ballance:    47225
Day  33 -        half capacity: current guests:     8/   13, occupancy: 0.615385, newly infected:     233, currently infected:    3258, total fully vaccined:       0, recovered:     833, ballance:    44350
Day  34 -        half capacity: current guests:    11/   13, occupancy: 0.846154, newly infected:     381, currently infected:    3477, total fully vaccined:       0, recovered:     995, ballance:    41475
Day  35 -        half capacity: current guests:    12/   13, occupancy: 0.923077, newly infected:     115, currently infected:    3467, total fully vaccined:       0, recovered:    1120, ballance:    40700
Day  36 -        half capacity: current guests:     9/   13, occupancy: 0.692308, newly infected:     235, currently infected:    3586, total fully vaccined:       0, recovered:    1236, ballance:    37825
Day  37 -        half capacity: current guests:     8/   13, occupancy: 0.615385, newly infected:     195, currently infected:    3623, total fully vaccined:       0, recovered:    1394, ballance:    36350
Day  38 -        half capacity: current guests:    11/   13, occupancy: 0.846154, newly infected:     295, currently infected:    3658, total fully vaccined:       0, recovered:    1654, ballance:    33475
Day  39 -        half capacity: current guests:    13/   13, occupancy: 1.000000, newly infected:     257, currently infected:    3644, total fully vaccined:       0, recovered:    1925, ballance:    30600
Day  40 -        half capacity: current guests:    13/   13, occupancy: 1.000000, newly infected:     163, currently infected:    3453, total fully vaccined:       0, recovered:    2279, ballance:    27725
Day  41 -        half capacity: current guests:    12/   13, occupancy: 0.923077, newly infected:      99, currently infected:    3200, total fully vaccined:       0, recovered:    2631, ballance:    25550
Day  42 -        half capacity: current guests:    11/   13, occupancy: 0.846154, newly infected:     160, currently infected:    3174, total fully vaccined:       0, recovered:    2817, ballance:    22675
Day  43 -        half capacity: current guests:    12/   13, occupancy: 0.923077, newly infected:      68, currently infected:    3058, total fully vaccined:       0, recovered:    3001, ballance:    24000
Day  44 -        half capacity: current guests:    13/   13, occupancy: 1.000000, newly infected:      52, currently infected:    2803, total fully vaccined:       0, recovered:    3308, ballance:    22525
Day  45 -        half capacity: current guests:    12/   13, occupancy: 0.923077, newly infected:     105, currently infected:    2708, total fully vaccined:       0, recovered:    3508, ballance:    21050
Day  46 -        half capacity: current guests:    10/   13, occupancy: 0.769231, newly infected:     217, currently infected:    2575, total fully vaccined:       0, recovered:    3858, ballance:    18175
Day  47 -        half capacity: current guests:    11/   13, occupancy: 0.846154, newly infected:     116, currently infected:    2458, total fully vaccined:       0, recovered:    4091, ballance:    18100
Day  48 -        half capacity: current guests:    13/   13, occupancy: 1.000000, newly infected:      57, currently infected:    2134, total fully vaccined:       0, recovered:    4472, ballance:    15225
Day  49 -        half capacity: current guests:    11/   13, occupancy: 0.846154, newly infected:     140, currently infected:    2159, total fully vaccined:       0, recovered:    4587, ballance:    12350
Day  50 -        half capacity: current guests:    12/   13, occupancy: 0.923077, newly infected:     154, currently infected:    2078, total fully vaccined:       0, recovered:    4822, ballance:    15775
Day  51 -        half capacity: current guests:    13/   13, occupancy: 1.000000, newly infected:     133, currently infected:    2016, total fully vaccined:       0, recovered:    5017, ballance:    22000
Day  52 -        half capacity: current guests:    11/   13, occupancy: 0.846154, newly infected:      99, currently infected:    1820, total fully vaccined:       0, recovered:    5312, ballance:    19825
Day  53 -        half capacity: current guests:     9/   13, occupancy: 0.692308, newly infected:      55, currently infected:    1618, total fully vaccined:       0, recovered:    5569, ballance:    16950
Day  54 -        half capacity: current guests:    13/   13, occupancy: 1.000000, newly infected:      86, currently infected:    1541, total fully vaccined:       0, recovered:    5732, ballance:    32975
Day  55 -        half capacity: current guests:    12/   13, occupancy: 0.923077, newly infected:      79, currently infected:    1521, total fully vaccined:       0, recovered:    5831, ballance:    31500
Day  56 -        half capacity: current guests:    13/   13, occupancy: 1.000000, newly infected:      52, currently infected:    1413, total fully vaccined:       0, recovered:    5991, ballance:    30025
Day  57 -        half capacity: current guests:    13/   13, occupancy: 1.000000, newly infected:      41, currently infected:    1386, total fully vaccined:       0, recovered:    6059, ballance:    46750
