Day   0 -      no restrictions: current guests:     3/   26, occupancy: 0.115385, newly infected:       3, currently infected:       3, total fully vaccined:       0, recovered:       0, ballance:    16725
Day   1 -      no restrictions: current guests:    10/   26, occupancy: 0.384615, newly infected:       0, currently infected:       3, total fully vaccined:       0, recovered:       0, ballance:    13850
Day   2 -      no restrictions: current guests:    24/   26, occupancy: 0.923077, newly infected:       2, currently infected:       5, total fully vaccined:       0, recovered:       0, ballance:    12375
Day   3 -      no restrictions: current guests:    22/   26, occupancy: 0.846154, newly infected:       3, currently infected:       8, total fully vaccined:       0, recovered:       0, ballance:    26300
Day   4 -      no restrictions: current guests:    22/   26, occupancy: 0.846154, newly infected:       4, currently infected:      12, total fully vaccined:       0, recovered:       0, ballance:    27625
Day   5 -      no restrictions: current guests:    25/   26, occupancy: 0.961538, newly infected:       6, currently infected:      18, total fully vaccined:       0, recovered:       0, ballance:    24750
Day   6 -      no restrictions: current guests:    22/   26, occupancy: 0.846154, newly infected:       1, currently infected:      19, total fully vaccined:       0, recovered:       0, ballance:    42875
Day   7 -      no restrictions: current guests:    22/   26, occupancy: 0.846154, newly infected:      12, currently infected:      31, total fully vaccined:       0, recovered:       0, ballance:    40000
Day   8 -      no restrictions: current guests:    26/   26, occupancy: 1.000000, newly infected:       0, currently infected:      31, total fully vaccined:       0, recovered:       0, ballance:    37125
Day   9 -      no restrictions: current guests:    24/   26, occupancy: 0.923077, newly infected:      10, currently infected:      41, total fully vaccined:       0, recovered:       0, ballance:    51750
Day  10 -      no restrictions: current guests:    23/   26, occupancy: 0.884615, newly infected:      50, currently infected:      91, total fully vaccined:       0, recovered:       0, ballance:    48875
Day  11 -      no restrictions: current guests:    17/   26, occupancy: 0.653846, newly infected:       3, currently infected:      94, total fully vaccined:       0, recovered:       0, ballance:    47400
Day  12 -      no restrictions: current guests:    21/   26, occupancy: 0.807692, newly infected:      47, currently infected:     141, total fully vaccined:       0, recovered:       0, ballance:    69725
Day  13 -      no restrictions: current guests:    16/   26, occupancy: 0.615385, newly infected:      48, currently infected:     189, total fully vaccined:       0, recovered:       0, ballance:    66850
Day  14 -      no restrictions: current guests:    21/   26, occupancy: 0.807692, newly infected:      64, currently infected:     250, total fully vaccined:       0, recovered:       3, ballance:    97575
Day  15 -      no restrictions: current guests:    25/   26, occupancy: 0.961538, newly infected:      45, currently infected:     295, total fully vaccined:       0, recovered:       3, ballance:    94700
Day  16 -      no restrictions: current guests:    26/   26, occupancy: 1.000000, newly infected:      98, currently infected:     391, total fully vaccined:       0, recovered:       5, ballance:    91825
Day  17 -      no restrictions: current guests:    22/   26, occupancy: 0.846154, newly infected:      68, currently infected:     456, total fully vaccined:       0, recovered:       8, ballance:    88950
Day  18 -      no restrictions: current guests:    26/   26, occupancy: 1.000000, newly infected:     230, currently infected:     682, total fully vaccined:       0, recovered:      12, ballance:    86075
Day  19 -      no restrictions: current guests:    26/   26, occupancy: 1.000000, newly infected:     139, currently infected:     815, total fully vaccined:       0, recovered:      18, ballance:    93000
Day  20 -      no restrictions: current guests:    23/   26, occupancy: 0.884615, newly infected:     162, currently infected:     976, total fully vaccined:       0, recovered:      19, ballance:    92225
Day  21 -      no restrictions: current guests:    26/   26, occupancy: 1.000000, newly infected:     125, currently infected:    1089, total fully vaccined:       0, recovered:      31, ballance:    97750
Day  22 -      no restrictions: current guests:    12/   26, occupancy: 0.461538, newly infected:     116, currently infected:    1205, total fully vaccined:       0, recovered:      31, ballance:    94875
Day  23 -      no restrictions: current guests:    12/   26, occupancy: 0.461538, newly infected:     158, currently infected:    1353, total fully vaccined:       0, recovered:      41, ballance:    94100
Day  24 -      no restrictions: current guests:     8/   26, occupancy: 0.307692, newly infected:     260, currently infected:    1563, total fully vaccined:       0, recovered:      91, ballance:    92625
Day  25 -      no restrictions: current guests:     9/   26, occupancy: 0.346154, newly infected:     271, currently infected:    1831, total fully vaccined:       0, recovered:      94, ballance:    90450
Day  26 -      no restrictions: current guests:    16/   26, occupancy: 0.615385, newly infected:     354, currently infected:    2138, total fully vaccined:       0, recovered:     141, ballance:   100175
Day  27 -      no restrictions: current guests:    14/   26, occupancy: 0.538462, newly infected:     352, currently infected:    2442, total fully vaccined:       0, recovered:     189, ballance:    99400
Day  28 -      no restrictions: current guests:    17/   26, occupancy: 0.653846, newly infected:     186, currently infected:    2564, total fully vaccined:       0, recovered:     253, ballance:   130125
Day  29 -      no restrictions: current guests:    19/   26, occupancy: 0.730769, newly infected:     184, currently infected:    2703, total fully vaccined:       0, recovered:     298, ballance:   127250
Day  30 -      no restrictions: current guests:    16/   26, occupancy: 0.615385, newly infected:     307, currently infected:    2912, total fully vaccined:       0, recovered:     396, ballance:   124375
Day  31 -      no restrictions: current guests:    19/   26, occupancy: 0.730769, newly infected:     200, currently infected:    3044, total fully vaccined:       0, recovered:     464, ballance:   125000
Day  32 -      no restrictions: current guests:     7/   26, occupancy: 0.269231, newly infected:     350, currently infected:    3164, total fully vaccined:       0, recovered:     694, ballance:   122125
Day  33 -      no restrictions: current guests:     9/   26, occupancy: 0.346154, newly infected:     233, currently infected:    3258, total fully vaccined:       0, recovered:     833, ballance:   120650
Day  34 -      no restrictions: current guests:    19/   26, occupancy: 0.730769, newly infected:     381, currently infected:    3477, total fully vaccined:       0, recovered:     995, ballance:   127575
Day  35 -      no restrictions: current guests:    25/   26, occupancy: 0.961538, newly infected:     115, currently infected:    3467, total fully vaccined:       0, recovered:    1120, ballance:   126100
Day  36 -      no restrictions: current guests:    14/   26, occupancy: 0.538462, newly infected:     235, currently infected:    3586, total fully vaccined:       0, recovered:    1236, ballance:   133025
Day  37 -      no restrictions: current guests:    17/   26, occupancy: 0.653846, newly infected:     195, currently infected:    3623, total fully vaccined:       0, recovered:    1394, ballance:   132250
Day  38 -      no restrictions: current guests:    23/   26, occupancy: 0.884615, newly infected:     295, currently infected:    3658, total fully vaccined:       0, recovered:    1654, ballance:   178375
Day  39 -      no restrictions: current guests:    23/   26, occupancy: 0.884615, newly infected:     257, currently infected:    3644, total fully vaccined:       0, recovered:    1925, ballance:   175500
Day  40 -      no restrictions: current guests:    26/   26, occupancy: 1.000000, newly infected:     163, currently infected:    3453, total fully vaccined:       0, recovered:    2279, ballance:   172625
Day  41 -      no restrictions: current guests:    13/   26, occupancy: 0.500000, newly infected:      99, currently infected:    3200, total fully vaccined:       0, recovered:    2631, ballance:   169750
Day  42 -      no restrictions: current guests:    25/   26, occupancy: 0.961538, newly infected:     160, currently infected:    3174, total fully vaccined:       0, recovered:    2817, ballance:   171075
Day  43 -      no restrictions: current guests:    19/   26, occupancy: 0.730769, newly infected:      68, currently infected:    3058, total fully vaccined:       0, recovered:    3001, ballance:   169600
Day  44 -      no restrictions: current guests:    24/   26, occupancy: 0.923077, newly infected:      52, currently infected:    2803, total fully vaccined:       0, recovered:    3308, ballance:   168825
Day  45 -      no restrictions: current guests:    25/   26, occupancy: 0.961538, newly infected:     105, currently infected:    2708, total fully vaccined:       0, recovered:    3508, ballance:   167350
Day  46 -      no restrictions: current guests:    26/   26, occupancy: 1.000000, newly infected:     217, currently infected:    2575, total fully vaccined:       0, recovered:    3858, ballance:   165875
